Side,Nt,Nv,Nh,Lambdal,Lambdah,LambdalMin,LambdalMax,LambdahMin,LambdahMax,Delta,Kappa,Nu,M0,Sigma,T,Mean,StandardDeviation,Kurtosis,Hurst,GPH,ADF,GARCH,Hill
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.0,10000.0,0.325,7200000,-1.0378173250490575e-5,0.012895772681076298,234.48020929640984,0.4216951470504555,0.8273305176904414,-62.48315598273177,1.0231390119897847,0.32651050304243906
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.0,10000.0,0.325,7200000,8.656006791895366e-8,1.817819886328845e-5,161.4140950152027,0.3369390767545791,0.14269961966181055,-68.69253170143244,0.9500000000000001,1.0654870829584389
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.0,10000.0,0.55,7200000,-0.00021902166566535003,0.017373938598873578,903.388989580841,0.5088682945991968,0.2949771095092553,-59.832820205931775,1.0566686944220016,0.36906436122523273
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.0,10000.0,0.55,7200000,1.8053643632019771e-7,3.7909220630821256e-5,161.47708092940817,0.33695847301324666,0.14246309173725485,-68.69292936995166,0.9500000000000001,1.0657414044011986
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.0,10000.0,0.775,7200000,-0.00017357608426655507,0.010834882017137488,428.8325929086153,0.46419650987370903,0.48871090710867726,-60.32107682771214,0.9414193373993571,0.3379006206392504
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.0,10000.0,0.775,7200000,1.317181223649142e-7,6.464469112818067e-5,444.5755670479901,0.5414983435164024,0.01672717211829044,-58.10752353567527,1.0210326793898514,0.9439480477292959
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.0,10000.0,1.0,7200000,-0.00018863214491881747,0.010840934451353923,431.78678886770706,0.47145391200287357,0.48578544988474825,-60.19965347504292,1.0758563606756237,0.35367389986834596
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.0,10000.0,1.0,7200000,1.3889693150516337e-7,6.81638036382264e-5,444.5404021156308,0.5414955060636356,0.016738890084281928,-58.107650311105346,1.0210295237265385,0.9439457170118992
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.1,10000.0,0.1,7200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.1,10000.0,0.1,7200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.1,10000.0,0.325,7200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.1,10000.0,0.325,7200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.1,10000.0,0.55,7200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.1,10000.0,0.55,7200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.1,10000.0,0.775,7200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.1,10000.0,0.775,7200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.1,10000.0,1.0,7200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.1,10000.0,1.0,7200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.575,10000.0,0.1,7200000,-1.2654291035654008e-5,0.028131288226385925,718.0275243767401,0.48907704859114126,0.4000682703710105,-58.96809472778148,1.0382976553166947,0.17525291895162107
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.575,10000.0,0.1,7200000,2.2793816638144094e-7,1.8694322010697757e-5,235.38907738481817,0.42803714013258304,0.03125630217377328,-60.92686137194467,0.8906516951283882,1.0357922483348794
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.575,10000.0,0.325,7200000,-3.183599553535338e-5,0.012090257425887057,96.68285150848864,0.3693532181148509,0.3615370430817636,-62.44024746640787,0.9611134775250036,0.21808185845289876
